Confluence Intra;Confluence Inter;OA Inter;DFP Intra left-right;DFP Intra right-left;DFP Inter left-right;DFP Inter right-left
0,0,0,0,0;0,0,0,0,0;0;3,111,62;2,314,170;43,1471,844;158,4399,2660
8,127,68,111,62;216,1930,1111,1926,1109;59;3,330,176;43,1866,992;158,4386,2653;216,6846,4384
5,318,172,334,178;85,1488,853,1489,853;81;33,1728,928;5,634,362;220,6833,4370;70,1205,707
76,1866,992,1728,928;316,4421,2671,4408,2664;2179;15,656,365;1,96,49;107,2243,1315;80,1976,1172
20,634,362,656,365;436,6883,4400,6870,4386;270;75,1413,729;31,936,512;66,1453,868;27,970,548
76,98,49,1415,729;177,1201,704,2245,1315;18;3,189,98;1,350,189;27,972,549;198,6155,3563
34,942,515,189,98;146,2002,1185,1473,878;16;2,357,192;11,415,194;232,7095,4119;16,721,439
3,354,189,360,192;54,976,549,978,550;86;59,1768,927;2,45,24;16,721,439;20,530,310
70,415,194,1768,927;430,6200,3581,7139,4138;86;2,71,40;2,39,18;20,531,310;29,792,473
4,45,24,71,40;32,721,439,721,439;1;2,74,39;3,83,43;29,798,476;599,22803,14322
4,39,18,74,39;40,530,310,531,310;3;6,106,53;90,3470,1911;572,21866,13775;297,8505,5241
9,83,43,106,53;58,792,473,798,476;1;4,958,523;111,2820,1481;64,1425,861;62,1040,595
94,3484,1918,972,530;1171,22933,14381,21990,13831;2705;14,300,160;5,107,56;62,1036,593;19,1106,725
125,2820,1481,300,160;361,8539,5257,1421,861;167;3,91,50;4,531,315;0,0,0;19,1241,815
8,107,56,91,50;124,1046,598,1042,596;7;0,0,0;4,621,360;0,0,0;19,1061,698
4,531,315,0,0;19,1106,725,0,0;3202;0,0,0;4,495,297;0,0,0;0,0,0
4,621,360,0,0;19,1241,815,0,0;4957;0,0,0;0,0,0;0,0,0;8,169,87
4,495,297,0,0;19,1061,698,0,0;2500;0,0,0;1,89,43;8,169,87;13,179,98
0,0,0,0,0;0,0,0,0,0;0;1,89,43;2,48,24;13,200,108;0,0,0
2,98,47,98,47;16,178,91,178,91;126;11,161,74;0,0,0;64,1897,1128;19,658,375
13,48,24,161,74;26,179,98,200,108;10;9,522,300;1,132,66;19,654,373;70,2152,1293
9,0,0,522,300;64,0,0,1903,1131;0;1,128,64;32,1018,550;52,1350,791;70,2152,1293
2,128,64,128,64;38,658,375,658,375;3;12,372,196;32,1018,550;52,1350,791;14,479,268
44,1014,548,372,196;122,2152,1293,1352,793;118;12,372,196;1,130,65;14,475,266;8,235,123
44,1014,548,372,196;122,2152,1293,1352,793;118;1,126,63;1,61,30;8,235,123;1,76,36
2,126,63,126,63;28,479,268,479,268;3;1,61,30;1,76,36;1,76,36;13,472,297
2,63,31,63,31;16,239,125,239,125;38;1,76,36;2,74,36;13,472,297;1,51,25
2,76,36,76,36;2,76,36,76,36;1;2,74,36;1,51,25;1,51,25;0,0,0
4,74,36,74,36;26,478,300,478,300;1;1,51,25;0,0,0;0,0,0;1,126,74
2,51,25,51,25;2,51,25,51,25;1;0,0,0;1,126,74;1,126,74;57,1121,631
0,0,0,0,0;0,0,0,0,0;0;1,126,74;1,107,58;73,1628,940;48,1191,652
2,126,74,126,74;2,126,74,126,74;1;27,706,380;1,92,47;61,1484,829;46,1134,621
28,107,58,706,380;130,1122,631,1629,940;3;12,368,187;3,100,50;59,1425,797;0,0,0
13,92,47,368,187;109,1196,654,1489,831;5;12,364,185;0,0,0;22,700,384;21,346,201
15,100,50,364,185;105,1139,623,1430,799;5;16,532,268;1,84,44;21,348,202;10,94,48
16,0,0,532,268;22,0,0,700,384;0;2,89,46;3,38,16;0,0,0;0
3,84,44,89,46;42,346,201,348,202;1;0,0,0;0;0;0
3,38,16,0,0;10,94,48,0,0;12;0;0;0;0
