Metric;Value;Analyses
Precision;1.0;[['CD']]
Recall;0.61;[['PDG-e', 'Confluence Inter'], ['PDG-e', 'DFP-Inter'], ['OA Inter', 'PDG-e', 'Confluence Inter'], ['OA Inter', 'PDG-e', 'DFP-Inter'], ['PDG-e', 'Confluence Inter', 'DFP-Inter'], ['PDG-e', 'Confluence Inter', 'CDe'], ['PDG-e', 'Confluence Inter', 'Confluence Intra'], ['PDG-e', 'Confluence Inter', 'CD'], ['PDG-e', 'Confluence Inter', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe'], ['PDG-e', 'DFP-Inter', 'Confluence Intra'], ['PDG-e', 'DFP-Inter', 'CD'], ['PDG-e', 'DFP-Inter', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CD'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra'], ['PDG-e', 'Confluence Inter', 'CDe', 'CD'], ['PDG-e', 'Confluence Inter', 'CDe', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'CDe', 'PDG'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra'], ['PDG-e', 'DFP-Inter', 'CDe', 'CD'], ['PDG-e', 'DFP-Inter', 'CDe', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'CDe', 'PDG'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CD', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'CD', 'PDG'], ['PDG-e', 'DFP-Inter', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'CD'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'CDe', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'CDe', 'CD', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG'], ['OA Inter', 'PDG-e', 'Confluence Inter', 'DFP-Inter', 'CDe', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG']]
F1-score;0.52;[['OA Inter', 'Confluence Intra', 'PDG'], ['OA Inter', 'Confluence Intra', 'CD', 'PDG'], ['OA Inter', 'Confluence Intra', 'DFP-Intra', 'PDG'], ['OA Inter', 'Confluence Intra', 'CD', 'DFP-Intra', 'PDG']]
Accuracy;0.75;[['CD']]
