Configure Soot Confluence 1,Time to perform Confluence 1,Configure Soot Confluence 2,Time to perform Confluence 2,Configure Soot OA Inter,Time to perform OA Inter,Configure Soot DFP left-right,Configure Soot DFP right-left,Time to perform DFP left-right,Time to perform DFP right-left,Configure Soot PDG left-right,Configure Soot PDG right-left,Time to perform PDG left-right,Time to perform PDG right-left
1.31700,6.16500,0.23800,3.08700,1.43600,1.86200,2.17200,5.55700,1.61600,15.09400,2.17500,6.61500,1.13800,2.28900
1.36100,1.21700,0.43500,0.33700,1.47100,1.61300,1.09600,4.69200,0.99100,0.99100,1.10900,4.68800,1.16000,0.77100
1.35800,6.69100,0.39900,4.99900,1.21300,1.59200,1.11700,5.80800,1.00900,1.48300,1.11900,4.68000,1.17700,0.61000
1.29300,4.21600,0.47900,2.81300,1.24600,1.43900,1.31100,4.72400,0.32100,0.97900,1.29800,4.69200,0.35400,1.26900
1.25800,5.69200,0.26700,2.63100,1.25100,1.44700,1.33400,4.70800,1.38100,1.00800,1.33100,4.66700,1.29600,1.29900
1.36700,8.81200,0.27100,6.28900,1.41900,1.63400,1.32300,5.36100,1.06400,1.59600,1.36500,5.59800,1.16400,0.82000
1.38200,1.21500,0.43100,0.18600,1.42800,1.70800,1.36000,4.68600,0.96900,1.31300,1.33100,5.65200,1.11700,0.69900
1.32900,1.84400,0.57500,1.01100,1.39000,1.63300,1.18700,5.23500,1.15600,192.00900,1.16400,5.46100,0.72500,4.75100
1.28900,1.59700,0.48300,0.41000,1.32600,1.57000,1.20100,5.77900,1.09600,167.01600,1.15100,5.32200,0.80500,4.68000
1.35800,1.23100,0.49000,0.14700,1.39600,1.59200,1.18400,6.42700,1.32300,21.13600,1.14100,5.34900,0.81900,2.15900
1.34900,1.88600,0.55700,0.87400,1.49600,1.68600,1.24500,5.75500,1.08400,2.55900,1.17100,5.61300,0.80000,1.45800
1.23300,1.12200,0.46000,0.19000,1.30600,1.56800,1.02600,5.33900,1.25000,1.07700,1.01300,5.58900,1.12200,0.90400
1.61800,1.19500,0.78400,0.15700,1.73500,1.93300,1.02300,5.67900,1.21900,1.03800,1.04100,4.69700,1.15300,0.75800
1.09500,0.79400,0.34800,0.17000,1.19000,1.31800,1.28600,4.90400,1.16400,2.36500,1.23700,7.56200,1.49800,1.78700
1.13400,1.00900,0.34800,0.22100,1.22300,1.36800,1.25100,4.88100,1.14100,0.37700,1.23400,5.53900,1.45200,0.45900
1.14400,0.93600,0.35800,0.13900,1.22300,1.34400,1.03200,5.85500,1.56200,1.81800,1.03400,4.81500,0.70200,1.61600
1.15800,0.96500,0.35400,0.19100,1.17500,1.29900,1.04900,6.10600,1.43000,0.53900,1.03900,6.01500,0.67800,0.54500
1.08600,0.92600,0.34400,0.21700,1.17900,1.29700,21.47200,5.43300,11.95800,1.54400,21.39700,4.85600,7.20300,1.94800
